,hhidpn,r12sayret
0,1010,
1,2010,
2,3010,
3,3020,1.completely retired
4,10001010,1.completely retired
5,10003020,
6,10003030,1.completely retired
7,10004010,
8,10004040,1.completely retired
9,10013010,1.completely retired
10,10013040,1.completely retired
11,10038010,2.partly retired
12,10038040,0.not retired
13,10050010,0.not retired
14,10059020,0.not retired
15,10059030,0.not retired
16,10063010,
17,10075020,1.completely retired
18,10075030,
19,10083010,
20,10083020,
21,10090010,
22,10094010,
23,10097010,
24,10097040,1.completely retired
25,10099010,1.completely retired
26,10106010,1.completely retired
27,10106020,1.completely retired
28,10109020,
29,10109030,1.completely retired
30,10114010,
31,10124010,
32,10124011,
33,10147010,1.completely retired
34,10155010,
35,10196010,
36,10206010,
37,10210010,
38,10210020,1.completely retired
39,10217010,
40,10225010,1.completely retired
41,10237020,
42,10237030,
43,10240010,
44,10257010,
45,10281010,1.completely retired
46,10281020,1.completely retired
47,10299010,1.completely retired
48,10299011,0.not retired
49,10299012,
50,10325010,
51,10325020,1.completely retired
52,10346010,
53,10372010,1.completely retired
54,10378010,
55,10394010,
56,10394040,
57,10395010,
58,10395020,1.completely retired
59,10397010,2.partly retired
60,10397040,
61,10404010,1.completely retired
62,10405010,
63,10405040,
64,10410010,
65,10414020,
66,10414030,
67,10433010,1.completely retired
68,10433040,
69,10451010,1.completely retired
70,10451020,1.completely retired
71,10453010,1.completely retired
72,10453020,1.completely retired
73,10458020,1.completely retired
74,10458030,1.completely retired
75,10460010,
76,10465010,
77,10465020,
78,10468010,
79,10468020,
80,10475010,1.completely retired
81,10475011,
82,10477010,1.completely retired
83,10477020,3.question irrelevant
84,10481010,1.completely retired
85,10481020,1.completely retired
86,10482010,1.completely retired
87,10533010,
88,10533011,1.completely retired
89,10533020,
90,10537010,1.completely retired
91,10537011,1.completely retired
92,10546010,
93,10556010,
94,10565020,2.partly retired
95,10565030,
96,10567010,
97,10568010,
98,10571010,1.completely retired
99,10571020,
100,10577010,1.completely retired
101,10577011,
102,10592010,1.completely retired
103,10600010,
104,10602010,
105,10611010,1.completely retired
106,10644010,
107,10644040,
108,10645020,
109,10645030,
110,10645031,1.completely retired
111,10646010,
112,10646020,
113,10648010,1.completely retired
114,10648020,2.partly retired
115,10652010,
116,10671010,
117,10672030,
118,10672031,1.completely retired
119,10677010,
120,10689010,
121,10689020,
122,10696010,1.completely retired
123,10707010,
124,10707020,
125,10708020,
126,10708030,1.completely retired
127,10719020,
128,10719030,
129,10740010,
130,10751010,
131,10752010,
132,10756010,
133,10756011,1.completely retired
134,10766010,
135,10769010,
136,10769040,2.partly retired
137,10773020,0.not retired
138,10773030,2.partly retired
139,10775020,
140,10775030,
141,10776010,
142,10781010,
143,10781040,
