,hhidpn,ragender
0,1010,1.male
1,2010,2.female
2,3010,1.male
3,3020,2.female
4,10001010,1.male
5,10003020,1.male
6,10003030,2.female
7,10004010,1.male
8,10004040,2.female
9,10013010,1.male
10,10013040,2.female
11,10038010,1.male
12,10038040,2.female
13,10050010,2.female
14,10059020,2.female
15,10059030,1.male
16,10063010,2.female
17,10075020,2.female
18,10075030,1.male
19,10083010,1.male
20,10083020,2.female
21,10090010,2.female
22,10094010,2.female
23,10097010,1.male
24,10097040,2.female
25,10099010,2.female
26,10106010,1.male
27,10106020,2.female
28,10109020,2.female
29,10109030,1.male
30,10114010,2.female
31,10124010,2.female
32,10124011,1.male
33,10147010,2.female
34,10155010,2.female
35,10196010,2.female
36,10206010,2.female
37,10210010,2.female
38,10210020,1.male
39,10217010,2.female
40,10225010,2.female
41,10237020,1.male
42,10237030,2.female
43,10240010,1.male
44,10257010,2.female
45,10281010,2.female
46,10281020,1.male
47,10299010,1.male
48,10299011,2.female
49,10299012,2.female
50,10325010,1.male
51,10325020,2.female
52,10346010,1.male
53,10372010,2.female
54,10378010,2.female
55,10394010,1.male
56,10394040,2.female
57,10395010,1.male
58,10395020,2.female
59,10397010,1.male
60,10397040,2.female
61,10404010,2.female
62,10405010,1.male
63,10405040,2.female
64,10410010,2.female
65,10414020,2.female
66,10414030,1.male
67,10433010,2.female
68,10433040,1.male
69,10451010,2.female
70,10451020,1.male
71,10453010,2.female
72,10453020,1.male
73,10458020,1.male
74,10458030,2.female
75,10460010,2.female
76,10465010,2.female
77,10465020,1.male
78,10468010,2.female
79,10468020,1.male
80,10475010,2.female
81,10475011,1.male
82,10477010,1.male
83,10477020,2.female
84,10481010,1.male
85,10481020,2.female
86,10482010,2.female
87,10533010,2.female
88,10533011,1.male
89,10533020,1.male
90,10537010,2.female
91,10537011,1.male
92,10546010,2.female
93,10556010,2.female
94,10565020,1.male
95,10565030,2.female
96,10567010,2.female
97,10568010,2.female
98,10571010,2.female
99,10571020,1.male
100,10577010,2.female
101,10577011,1.male
102,10592010,2.female
103,10600010,2.female
104,10602010,2.female
105,10611010,2.female
106,10644010,1.male
107,10644040,2.female
108,10645020,2.female
109,10645030,1.male
110,10645031,2.female
111,10646010,1.male
112,10646020,2.female
113,10648010,1.male
114,10648020,2.female
115,10652010,2.female
116,10671010,1.male
117,10672030,1.male
118,10672031,2.female
119,10677010,2.female
120,10689010,2.female
121,10689020,1.male
122,10696010,2.female
123,10707010,1.male
124,10707020,2.female
125,10708020,1.male
126,10708030,2.female
127,10719020,2.female
128,10719030,1.male
129,10740010,2.female
130,10751010,2.female
131,10752010,2.female
132,10756010,2.female
133,10756011,1.male
134,10766010,2.female
135,10769010,1.male
136,10769040,2.female
137,10773020,2.female
138,10773030,1.male
139,10775020,2.female
140,10775030,1.male
141,10776010,1.male
142,10781010,2.female
143,10781040,1.male
144,10818010,1.male
145,10818040,2.female
146,10821030,2.female
147,10822010,1.male
148,10822040,2.female
149,10853010,1.male
150,10893010,2.female
151,10896010,2.female
152,10902010,1.male
153,10917010,2.female
154,10923020,1.male
155,10923021,2.female
156,10923030,2.female
157,10926010,1.male
158,10926040,2.female
159,10929010,1.male
160,10929040,2.female
161,10941010,2.female
162,10951010,1.male
163,10956010,2.female
164,10956040,1.male
165,10962010,2.female
166,10962040,1.male
167,10989010,1.male
168,10989020,2.female
169,10990010,2.female
170,10990040,1.male
171,10994010,1.male
172,11010010,1.male
173,11067020,2.female
174,11067030,1.male
175,11071010,2.female
176,11071020,1.male
177,11074020,2.female
178,11074030,1.male
179,11141010,2.female
180,11141020,1.male
181,11147010,2.female
182,11155010,2.female
183,11179010,2.female
184,11179020,1.male
185,11186010,2.female
186,11212010,1.male
187,11212011,2.female
188,11212020,2.female
189,11214010,2.female
190,11218010,2.female
191,11219010,2.female
192,11219020,1.male
193,11230010,2.female
194,11241010,1.male
195,11241040,2.female
196,11248010,2.female
197,11253010,2.female
198,11256010,1.male
199,11256040,2.female
200,11264010,2.female
201,11264020,1.male
202,11277010,2.female
203,11323010,2.female
204,11332010,1.male
205,11332020,2.female
206,11333020,2.female
207,11333030,1.male
208,11341010,2.female
209,11341020,1.male
210,11345010,1.male
211,11345020,2.female
212,11347020,2.female
213,11347030,1.male
214,11368010,1.male
215,11368020,2.female
216,11377010,1.male
217,11377040,2.female
218,11378010,1.male
219,11378020,2.female
220,11379010,2.female
221,11379020,1.male
222,11380010,1.male
223,11380040,2.female
224,11387020,2.female
225,11387030,1.male
226,11423010,2.female
227,11466010,1.male
228,11466040,2.female
229,11467010,2.female
230,11469030,1.male
231,11477010,1.male
232,11477011,2.female
233,11478010,1.male
234,11479010,2.female
235,11479040,1.male
236,11505010,2.female
237,11506010,2.female
238,11522010,2.female
239,11524010,2.female
240,11524020,1.male
241,11542010,1.male
242,11542040,2.female
243,11549020,2.female
244,11549030,1.male
245,11554020,1.male
246,11554030,2.female
247,11563010,2.female
248,11570010,1.male
249,11570040,2.female
250,11575010,2.female
251,11575020,1.male
252,11582010,2.female
253,11582020,1.male
254,11590020,2.female
255,11590030,1.male
256,11591010,1.male
257,11591020,2.female
258,11603010,2.female
259,11603020,1.male
260,11608010,2.female
261,11608040,1.male
262,11611010,1.male
263,11611040,2.female
264,11612010,1.male
265,11612040,2.female
266,11620010,1.male
267,11620040,2.female
268,11626010,1.male
269,11626011,2.female
270,11656010,1.male
271,11667020,2.female
272,11667030,1.male
273,11671010,1.male
274,11671040,2.female
275,11678010,2.female
276,11678040,1.male
277,11678041,2.female
278,11690010,2.female
279,11694010,2.female
280,11694020,1.male
281,11716010,1.male
282,11765010,1.male
283,11787010,2.female
284,11787040,1.male
285,11793010,2.female
286,11793040,1.male
287,11798010,2.female
288,11802010,1.male
289,11802011,2.female
290,11802020,2.female
291,11810010,1.male
292,11810020,2.female
293,11818010,1.male
294,11825010,1.male
295,11825040,2.female
296,11826010,1.male
297,11826011,1.male
298,11828010,2.female
299,11830010,1.male
300,11830040,2.female
301,11835010,1.male
302,11835020,2.female
303,11841010,1.male
304,11841040,2.female
305,11854010,1.male
306,11854020,2.female
307,11856010,2.female
308,11859010,2.female
309,11862020,2.female
310,11862030,1.male
311,11863010,2.female
312,11876010,2.female
313,11876040,1.male
314,11878010,1.male
315,11878040,2.female
316,11881010,1.male
317,11881011,2.female
318,11893010,1.male
319,11902020,2.female
320,11902030,1.male
321,11902031,2.female
322,11907010,1.male
323,11907020,2.female
324,11911010,1.male
325,11911040,2.female
326,11927010,2.female
327,11929020,2.female
328,11930010,1.male
329,11930040,2.female
330,11932020,2.female
331,11932030,1.male
332,11933010,2.female
333,11933040,1.male
334,11936010,1.male
335,11936011,2.female
336,11936012,2.female
337,11936020,2.female
338,11937010,2.female
339,11948020,2.female
340,11948030,1.male
341,11956010,2.female
342,11956040,1.male
343,11959010,1.male
344,11959020,2.female
345,11983010,2.female
346,11983040,1.male
347,11989010,1.male
348,11993010,1.male
349,11993020,2.female
350,11999010,1.male
351,11999020,2.female
352,12005010,2.female
353,12005040,1.male
354,12007010,2.female
355,12009010,2.female
356,12009040,1.male
357,12010010,2.female
358,12010020,1.male
359,12023010,1.male
360,12025010,2.female
361,12033010,1.male
362,12033011,2.female
363,12045010,1.male
364,12045011,2.female
365,12045020,2.female
366,12052010,2.female
367,12054010,2.female
368,12054020,1.male
369,12068010,1.male
370,12068020,2.female
371,12094010,1.male
372,12094011,2.female
373,12094040,2.female
374,12104010,2.female
375,12104020,1.male
376,12106010,1.male
377,12106011,2.female
378,12108010,2.female
